player,class,season,pos,school,conf,g,mp,fg,fga,fgpercent,x2p,x2pa,x3p,x3pa,x3ppercent,ft,fta,ftpercent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,orbpercent,drbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,pprod,ortg,drtg,ows,dws,ws,obpm,dbpm,bpm,player_link,school_link,conf_link,season_link
Rich Kelly,SR,2020-21,G,Boston College,ACC,16,406,61,143,0.427,29,57,32,86,0.372,22,27,0.815,4,23,27,38,15,1,31,34,176,15.2,0.565,0.538,1.1,6.8,3.8,19.9,2.1,0.3,16.6,22.8,169,105.2,114.4,0.7,0,0.7,1.9,-0.7,1.2,/cbb/players/rich-kelly-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Steffon Mitchell,SR,2020-21,F,Boston College,ACC,16,521,49,106,0.462,34,55,15,51,0.294,33,52,0.635,32,84,116,24,22,16,21,35,146,16.6,0.559,0.533,6.7,19.2,12.7,8.7,2.4,3.2,13.8,14.4,154,113.4,108.3,0.9,0.3,1.3,2.2,1.3,3.6,/cbb/players/steffon-mitchell-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
CJ Felder,SO,2020-21,F,Boston College,ACC,19,528,67,146,0.459,45,76,22,70,0.314,28,45,0.622,26,87,113,17,19,41,28,49,184,17.9,0.55,0.534,5.4,19.7,12.2,6.5,2,8.1,14.3,18.3,176,105,105.9,0.7,0.5,1.2,1.4,2.2,3.6,/cbb/players/cj-felder-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Wynston Tabbs,SO,2020-21,G,Boston College,ACC,12,326,53,130,0.408,26,62,27,68,0.397,27,34,0.794,3,29,32,21,5,1,32,30,160,13.1,0.547,0.512,1,10.6,5.6,14,0.9,0.3,18,27.1,146,97.5,115.8,0.3,0,0.3,1,-2.2,-1.2,/cbb/players/wynston-tabbs-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Jay Heath,SO,2020-21,G,Boston College,ACC,19,642,103,250,0.412,61,130,42,120,0.35,28,36,0.778,13,46,59,34,16,2,40,32,276,13.5,0.517,0.496,2.2,8.5,5.3,11.5,1.4,0.3,13,23.7,255,99.4,115.4,0.7,0,0.7,1.4,-1.7,-0.3,/cbb/players/jay-heath-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
James Karnik,SR,2020-21,C,Boston College,ACC,14,283,36,82,0.439,32,67,4,15,0.267,19,25,0.76,32,43,75,9,7,8,17,31,95,15.8,0.506,0.463,12.4,18.1,15.2,6.4,1.4,2.9,15.3,19.4,103,103.6,110.7,0.4,0.1,0.5,0.5,-1,-0.5,/cbb/players/james-karnik-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
DeMarr Langford Jr.,FR,2020-21,G,Boston College,ACC,18,457,39,95,0.411,35,78,4,17,0.235,39,52,0.75,27,49,76,25,20,0,35,24,121,11.5,0.505,0.432,6.5,12.8,9.5,10.2,2.4,0,22.6,16.8,134,95.4,112,0.2,0.1,0.4,-0.9,0.1,-0.7,/cbb/players/demarr-langfordjr-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Makai Ashton-Langford,JR,2020-21,G,Boston College,ACC,15,396,51,122,0.418,39,71,12,51,0.235,31,47,0.66,7,43,50,48,26,1,25,50,145,15.9,0.502,0.467,1.9,12.9,7.2,24.6,3.7,0.3,14.8,21.2,155,103.2,108.7,0.6,0.2,0.8,-0.4,1.8,1.4,/cbb/players/makai-ashton-langford-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Frederick Scott,SR,2020-21,F,Boston College,ACC,7,128,18,45,0.4,10,25,8,20,0.4,9,18,0.5,4,23,27,4,6,2,13,14,53,12.1,0.495,0.489,3.4,21.4,12.1,6.5,2.6,1.6,19.5,25.7,48,86.2,107.8,-0.1,0.1,0,-1.6,-0.6,-2.2,/cbb/players/frederick-scott-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Kamari Williams,SO,2020-21,F,Boston College,ACC,15,186,14,40,0.35,5,10,9,30,0.3,2,4,0.5,8,10,18,4,3,1,9,5,39,6.2,0.465,0.463,4.7,6.4,5.5,3.9,0.9,0.6,17.7,13.5,39,88.7,117.2,0,0,0,-0.8,-1.8,-2.6,/cbb/players/kamari-williams-1.html,/cbb/schools/boston-college/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
Aamir Simms,SR,2020-21,F,Clemson,ACC,24,712,124,233,0.532,102,178,22,55,0.4,52,63,0.825,59,95,154,65,21,17,58,69,322,23.8,0.612,0.579,10.2,16.3,13.3,22.4,1.8,3.1,18.1,24.5,328,114.7,94.9,2.2,1.4,3.6,5.4,3.3,8.7,/cbb/players/aamir-simms-1.html,/cbb/schools/clemson/2021.html,/cbb/conferences/acc/2021.html,/cbb/seasons/2021.html
