player,hoop_math_player_name,school,hoop_math_school,season,hm_fag,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent
Keon Ambrose-Hylton,Keon Ambrose-Hylton,Alabama,Alabama,2020-21,15,0.621,0.667,0.733,0.545,0.667,0.267,1,0.75,0,NA,NA,0.267,0.25
Keon Ellis,Keon Ellis,Alabama,Alabama,2020-21,119,0.619,0.5920000000000001,0.395,0.6809999999999999,0.344,0.151,0.389,0.14300000000000002,0.45399999999999996,0.389,0.9520000000000001,0.395,0.723
Jahvon Quinerly,Jahvon Quinerly,Alabama,Alabama,2020-21,297,0.583,0.5660000000000001,0.465,0.565,0.077,0.131,0.308,0,0.40399999999999997,0.433,0.5579999999999999,0.249,0.6890000000000001
Darius Miles,Darius Miles,Alabama,Alabama,2020-21,28.999999999999996,0.5790000000000001,0.534,0.207,0.667,0,0.10300000000000001,0.33299999999999996,1,0.69,0.35,0.7140000000000001,0.276,0.875
Joshua Primo,Joshua Primo,Alabama,Alabama,2020-21,195,0.5650000000000001,0.541,0.32299999999999995,0.603,0.368,0.09699999999999999,0.158,0.33299999999999996,0.579,0.381,0.884,0.226,0.75
Jordan Bruner,Jordan Bruner,Alabama,Alabama,2020-21,106,0.559,0.5329999999999999,0.321,0.706,0.41700000000000004,0.075,0.125,0,0.604,0.32799999999999996,0.9520000000000001,0.292,0.71
John Petty,John Petty Jr. ,Alabama,Alabama,2020-21,331,0.556,0.536,0.242,0.588,0.36200000000000004,0.13,0.349,0.133,0.628,0.37,0.805,0.193,0.7340000000000001
Juwan Gary,Juwan Gary,Alabama,Alabama,2020-21,89,0.547,0.545,0.775,0.609,0.5479999999999999,0.124,0.455,0.4,0.10099999999999999,0.111,1,0.382,0.529
Jaden Shackelford,Jaden Shackelford,Alabama,Alabama,2020-21,376,0.533,0.493,0.37200000000000005,0.557,0.179,0.138,0.25,0.231,0.489,0.342,0.937,0.316,0.7559999999999999
Herb Jones,Herbert Jones,Alabama,Alabama,2020-21,289,0.529,0.48100000000000004,0.647,0.529,0.242,0.156,0.222,0.1,0.19699999999999998,0.35100000000000003,0.65,0.45,0.715
Alex Reese,Alex Reese,Alabama,Alabama,2020-21,179,0.477,0.466,0.29100000000000004,0.596,0.581,0.017,0,NA,0.693,0.282,0.914,0.08900000000000001,0.688
James Rojas,James Rojas,Alabama,Alabama,2020-21,80,0.443,0.38799999999999996,0.562,0.444,0.35,0.11199999999999999,0.222,0,0.325,0.231,1,0.45,0.667
Bennedict Mathurin,Bennedict Mathurin,Arizona,Arizona,2020-21,184,0.632,0.5820000000000001,0.293,0.722,0.513,0.223,0.268,0.273,0.484,0.42700000000000005,0.9209999999999999,0.413,0.8420000000000001
Ira Lee,Ira Lee,Arizona,Arizona,2020-21,49,0.586,0.551,0.408,0.75,0.267,0.5920000000000001,0.414,0.75,0,NA,NA,0.38799999999999996,0.737
Jordan Brown,Jordan Brown,Arizona,Arizona,2020-21,159,0.58,0.5660000000000001,0.49700000000000005,0.7090000000000001,0.625,0.49700000000000005,0.43,0.5,0.006,0,NA,0.61,0.598
Azuolas Tubelis,Azuolas Tubelis,Arizona,Arizona,2020-21,219,0.558,0.518,0.511,0.652,0.6579999999999999,0.306,0.313,0.857,0.183,0.325,0.9229999999999999,0.47,0.6990000000000001
Christian Koloko,Christian Koloko,Arizona,Arizona,2020-21,97,0.546,0.515,0.639,0.6609999999999999,0.78,0.35100000000000003,0.265,0.444,0.01,0,NA,0.557,0.63
Jemarl Baker,Baker Jemarl,Arizona,Arizona,2020-21,124,0.532,0.5,0.13699999999999998,0.47100000000000003,0.5,0.298,0.486,0.222,0.565,0.34299999999999997,0.875,0.19399999999999998,0.833
James Akinjo,James Akinjo,Arizona,Arizona,2020-21,313,0.521,0.45799999999999996,0.214,0.433,0.10300000000000001,0.39,0.311,0.21100000000000002,0.396,0.41100000000000003,0.6859999999999999,0.374,0.8290000000000001
Dalen Terry,Dalen Terry,Arizona,Arizona,2020-21,89,0.532,0.506,0.281,0.68,0.529,0.247,0.318,0.7140000000000001,0.47200000000000003,0.33299999999999996,1,0.494,0.614
Kerr Kriisa,Kerr Kriisa,Arizona,Arizona,2020-21,39,0.513,0.5,0.051,0,NA,0.051,0,NA,0.897,0.371,1,0.051,1
Terrell Brown,Brown Terrell,Arizona,Arizona,2020-21,154,0.5,0.43799999999999994,0.273,0.524,0.22699999999999998,0.494,0.342,0.077,0.23399999999999999,0.361,0.846,0.42200000000000004,0.769
Chris Osten,Chris Osten,Arizona State,Arizona State,2020-21,45,0.56,0.6,0.6890000000000001,0.742,0.7829999999999999,0.311,0.28600000000000003,0.75,0,NA,NA,0.444,0.35
Remy Martin,Remy Martin,Arizona State,Arizona State,2020-21,311,0.553,0.5,0.254,0.5820000000000001,0.152,0.315,0.39799999999999996,0.128,0.431,0.35100000000000003,0.66,0.428,0.774
Jalen Graham,Jalen Graham,Arizona State,Arizona State,2020-21,129,0.552,0.5429999999999999,0.5429999999999999,0.6859999999999999,0.688,0.45,0.379,0.455,0.008,0,NA,0.33299999999999996,0.581
Kimani Lawrence,Kimani Lawrence,Arizona State,Arizona State,2020-21,144,0.547,0.524,0.604,0.701,0.754,0.354,0.255,0.615,0.042,0.16699999999999998,1,0.382,0.636
Marcus Bagley,Marcus Bagley,Arizona State,Arizona State,2020-21,99,0.53,0.51,0.172,0.647,0.545,0.141,0.35700000000000004,0.4,0.687,0.33799999999999997,1,0.182,0.722
Holland Woods,Holland Woods,Arizona State,Arizona State,2020-21,135,0.523,0.478,0.2,0.556,0.267,0.17,0.391,0.111,0.63,0.318,0.741,0.237,0.875
Josh Christopher,Josh Christopher,Arizona State,Arizona State,2020-21,166,0.536,0.494,0.265,0.727,0.344,0.40399999999999997,0.34299999999999997,0.13,0.331,0.327,0.722,0.295,0.7959999999999999
Jaelen House,Jaelen House,Arizona State,Arizona State,2020-21,101,0.523,0.51,0.257,0.615,0.25,0.168,0.059000000000000004,0,0.574,0.397,0.9570000000000001,0.129,0.6920000000000001
John Olmsted,John Olmsted,Arizona State,Arizona State,2020-21,4,0.508,0.5,0.75,0.667,1,0.25,0,NA,0,NA,NA,1,0.5
Alonzo Verge,Alonzo Verge Jr. ,Arizona State,Arizona State,2020-21,275,0.498,0.445,0.382,0.486,0.157,0.327,0.344,0.032,0.29100000000000004,0.33799999999999997,0.741,0.302,0.8190000000000001
Taeshon Cherry,Taeshon  Cherry,Arizona State,Arizona State,2020-21,21,0.381,0.381,0.14300000000000002,0.33299999999999996,0,0.048,1,1,0.81,0.235,1,0,NA
Ethan Henderson,Ethan Henderson,Arkansas,Arkansas,2020-21,14.000000000000002,0.6599999999999999,0.7140000000000001,0.857,0.833,0.7,0.14300000000000002,0,NA,0,NA,NA,0.28600000000000003,0.25
Khalen Robinson,Khalen Robinson,Arkansas,Arkansas,2020-21,20,0.546,0.5,0.2,0.75,0.33299999999999996,0.25,0.2,0,0.55,0.364,0.5,0.4,0.75
Jaylin Williams,Jaylin Williams,Arkansas,Arkansas,2020-21,69,0.5730000000000001,0.529,0.348,0.75,0.278,0.319,0.364,0.25,0.33299999999999996,0.304,1,0.449,0.742
Moses Moody,Moses Moody,Arkansas,Arkansas,2020-21,374,0.5630000000000001,0.49700000000000005,0.265,0.5760000000000001,0.316,0.31,0.38799999999999996,0.289,0.425,0.35200000000000004,0.857,0.47100000000000003,0.812
Justin Smith,Justin Smith,Arkansas,Arkansas,2020-21,278,0.582,0.57,0.665,0.6920000000000001,0.578,0.259,0.319,0.348,0.076,0.23800000000000002,0.8,0.317,0.625
Jalen Tate,Jalen Tate,Arkansas,Arkansas,2020-21,260,0.558,0.529,0.342,0.596,0.45299999999999996,0.377,0.48,0.255,0.281,0.342,0.8,0.331,0.7090000000000001
Connor Vanover,Connor Vanover,Arkansas,Arkansas,2020-21,149,0.541,0.51,0.376,0.643,0.667,0.14800000000000002,0.318,0.857,0.47700000000000004,0.31,0.955,0.141,0.9520000000000001
Desi Sills,Desi Sills,Arkansas,Arkansas,2020-21,187,0.54,0.511,0.524,0.541,0.45299999999999996,0.037000000000000005,0.28600000000000003,1,0.439,0.32899999999999996,0.889,0.353,0.682
JD Notae,JD Notae,Arkansas,Arkansas,2020-21,338,0.513,0.466,0.32799999999999996,0.505,0.179,0.18600000000000003,0.302,0.158,0.485,0.335,0.564,0.35200000000000004,0.7559999999999999
