hoop_math_link,hoop_math_name,hoop_math_match_name,sref_name,sref_link
A&M-CorpusChristi2021.php,A&M-CorpusChristi,A&M-CorpusChristi,Texas A&M-Corpus Christi,texas-am-corpus-christi
AbileneChristian2021.php,AbileneChristian,AbileneChristian,Abilene Christian,abilene-christian
AirForce2021.php,AirForce,AirForce,Air Force,air-force
Akron2021.php,Akron,Akron,Akron,akron
Alabama2021.php,Alabama,Alabama,Alabama,alabama
AlabamaA&M2021.php,AlabamaA&M,AlabamaA&M,Alabama A&M,alabama-am
AlabamaSt.2021.php,AlabamaSt.,AlabamaSt.,Alabama State,alabama-state
Albany(NY)2021.php,Albany(NY),Albany(NY),Albany (NY),albany-ny
Alcorn2021.php,Alcorn,Alcorn,Alcorn State,alcorn-state
American2021.php,American,American,American,american
AppState2021.php,AppState,AppState,Appalachian State,appalachian-state
Arizona2021.php,Arizona,Arizona,Arizona,arizona
ArizonaSt.2021.php,ArizonaSt.,ArizonaSt.,Arizona State,arizona-state
Ark.-PineBluff2021.php,Ark.-PineBluff,Ark.-PineBluff,Arkansas-Pine Bluff,arkansas-pine-bluff
Arkansas2021.php,Arkansas,Arkansas,Arkansas,arkansas
ArkansasSt.2021.php,ArkansasSt.,ArkansasSt.,Arkansas State,arkansas-state
ArmyWestPoint2021.php,ArmyWestPoint,ArmyWestPoint,Army,army
Auburn2021.php,Auburn,Auburn,Auburn,auburn
AustinPeay2021.php,AustinPeay,AustinPeay,Austin Peay,austin-peay
BYU2021.php,BYU,Brigham Young,Brigham Young,brigham-young
BallSt.2021.php,BallSt.,BallSt.,Ball State,ball-state
Baylor2021.php,Baylor,Baylor,Baylor,baylor
Belmont2021.php,Belmont,Belmont,Belmont,belmont
Bethune-Cookman2021.php,Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,bethune-cookman
Binghamton2021.php,Binghamton,Binghamton,Binghamton,binghamton
BoiseSt.2021.php,BoiseSt.,BoiseSt.,Boise State,boise-state
BostonCollege2021.php,BostonCollege,BostonCollege,Boston College,boston-college
BostonU.2021.php,BostonU.,BostonU.,Boston University,boston-university
BowlingGreen2021.php,BowlingGreen,BowlingGreen,Bowling Green State,bowling-green-state
Bradley2021.php,Bradley,Bradley,Bradley,bradley
Brown2021.php,Brown,Brown,Brown,brown
Bryant2021.php,Bryant,Bryant,Bryant,bryant
Bucknell2021.php,Bucknell,Bucknell,Bucknell,bucknell
Buffalo2021.php,Buffalo,Buffalo,Buffalo,buffalo
Butler2021.php,Butler,Butler,Butler,butler
CSUBakersfield2021.php,CSUBakersfield,CSUBakersfield,Cal State Bakersfield,cal-state-bakersfield
CSUN2021.php,CSUN,CSUN,Cal State Northridge,cal-state-northridge
CalPoly2021.php,CalPoly,CalPoly,Cal Poly,cal-poly
CalSt.Fullerton2021.php,CalSt.Fullerton,CalSt.Fullerton,Cal State Fullerton,cal-state-fullerton
California2021.php,California,University of California,University of California,california
CaliforniaBaptist2021.php,CaliforniaBaptist,CaliforniaBaptist,California Baptist,california-baptist
Campbell2021.php,Campbell,Campbell,Campbell,campbell
Canisius2021.php,Canisius,Canisius,Canisius,canisius
CentralArk.2021.php,CentralArk.,CentralArk.,Central Arkansas,central-arkansas
CentralConn.St.2021.php,CentralConn.St.,CentralConn.St.,Central Connecticut State,central-connecticut-state
CentralMich.2021.php,CentralMich.,CentralMich.,Central Michigan,central-michigan
