player,pos,age,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,year,mpg,current_age,current_pos,min_year,year_in_league
A.J. Hammons,C,24,DAL,22,163,8.4,0.472,0.238,.476,5.4,21,12.8,3.8,0.3,7.2,16.4,17.6,-0.2,0.2,0,-0.001,-6.6,0,-6.6,-0.2,2017,7.409090909090909,28,C,2017,0
Aaron Gordon,PF,19,ORL,47,797,11.4,0.517,0.231,.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.6,-0.1,-2.7,-0.2,2015,16.95744680851064,25,PF,2015,0
Aaron Gordon,PF,20,ORL,78,1863,17,0.541,0.245,.333,9,21.3,15.1,10.3,1.6,2.4,9,17.3,3.2,2.2,5.4,0.139,0.9,0.1,1,1.4,2016,23.884615384615383,25,PF,2015,1
Aaron Gordon,SF,21,ORL,80,2298,14.5,0.53,0.309,.251,5.3,14.1,9.6,10.5,1.4,1.4,8.5,20.1,2,1.7,3.7,0.077,-0.3,-0.7,-1,0.6,2017,28.725,25,PF,2015,2
Aaron Gordon,PF,22,ORL,58,1909,16.5,0.53,0.395,.260,5,21.5,13.2,11.7,1.5,1.9,10,24.7,0.9,2,2.9,0.072,0.9,-0.6,0.3,1.1,2018,32.91379310344828,25,PF,2015,3
Aaron Gordon,PF,23,ORL,78,2633,15.1,0.538,0.332,.242,5.2,18.4,11.7,16.6,1.1,1.8,12.3,21.8,1.8,3.3,5.1,0.093,0.3,0.3,0.6,1.7,2019,33.756410256410255,25,PF,2015,4
Aaron Gordon,PF,24,ORL,62,2017,15.1,0.516,0.309,.292,5.5,20.3,12.7,17.4,1.2,1.7,10.4,20.7,1.4,2.3,3.7,0.087,-0.1,0.1,0,1,2020,32.53225806451613,25,PF,2015,5
Aaron Gordon,PF,25,TOT,50,1384,14.5,0.547,0.353,.299,6,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.2,0,0.7,2021,27.68,25,PF,2015,6
Aaron Harrison,SG,21,CHO,21,93,4.3,0.371,0.526,.632,4.7,13.1,8.8,3,3.2,0,14.1,13.7,-0.2,0.1,0,-0.014,-7.2,0.9,-6.3,-0.1,2016,4.428571428571429,26,SG,2016,0
Aaron Harrison,SG,22,CHO,5,17,-2.2,0.102,0.5,.500,0,19.5,9.7,22.6,0,0,0,12.9,-0.1,0,-0.1,-0.146,-10.1,-1.7,-11.8,0,2017,3.4,26,SG,2016,1
Aaron Harrison,SG,23,DAL,9,233,5.1,0.392,0.623,.246,1.8,9.9,5.7,6.7,1.9,0.8,3.8,15.5,-0.3,0.2,-0.1,-0.014,-6.8,-0.6,-7.5,-0.3,2018,25.88888888888889,26,SG,2016,2
Aaron Holiday,PG,22,IND,50,646,11.9,0.518,0.485,.191,0.9,10.4,5.8,19.3,1.6,1.8,12.3,21.9,0.1,0.8,0.9,0.065,-1.7,0.1,-1.6,0.1,2019,12.92,24,PG,2019,0
Aaron Holiday,PG,23,IND,66,1617,11.6,0.521,0.393,.155,1.5,9,5.3,19.1,1.7,0.9,12.8,18.7,0.4,1.7,2.1,0.063,-1.6,0,-1.6,0.2,2020,24.5,24,PG,2019,1
Aaron Holiday,PG,24,IND,66,1176,9.2,0.503,0.417,.190,1.4,6.8,4.1,14,1.8,0.9,12.3,19.5,-0.6,0.8,0.2,0.009,-3.2,-1,-4.1,-0.6,2021,17.818181818181817,24,PG,2019,2
Aaron Jackson,PG,31,HOU,1,35,2.4,0.405,0.444,.222,6.5,3.2,4.8,4,0,0,9.2,13.7,0,0,0,-0.017,-6.6,-2.3,-8.9,-0.1,2018,35,34,PG,2018,0
Aaron Nesmith,SF,21,BOS,46,669,9.4,0.573,0.607,.157,4.6,16.6,10.6,4.6,1.1,1.3,10.8,13.7,0.5,0.6,1.1,0.076,-2.9,-0.4,-3.2,-0.2,2021,14.543478260869565,21,SF,2021,0
